name,latitude,longitude,category,landmark,barangay,city,province
Jollibee,10.821535694027757,122.52933652248603,food,"suvil town center",Inangayan,"SANTA BARBARA",ILOILO
"Jollibee polomolok ",6.218612876478141,125.060992268002866,food,"Tabi ng mang inasal",Poblacion,POLOMOLOK,"SOUTH COTABATO"
"Mang Inasal",6.218612876487288,125.06099268002866,food,"Tabi ng Jollibee polomolok south Cotabato ",Poblacion,POLOMOLOK,"SOUTH COTABATO"
"Chooks to go polomolok ",6.223000440500984,125.06449766653382,food,"Unahan sa heramel hospital ",Poblacion,POLOMOLOK,"SOUTH COTABATO"
S&R,10.721331169837349,122.55828486495635,food,"Robinson Jaro","Lopez Jaena (Jaro)","ILOILO CITY (Capital)",ILOILO
"Classic Savory",10.7147441893809,122.55158263042092,food,"sm city iloilo",Bolilao,"ILOILO CITY (Capital)",ILOILO
"GREENWICH PIZZA",14.692401205268006,120.96944429458085,food,"3/F Valenzuela Town Center 339, MacArthur Hwy",Karuhatan,"CITY OF VALENZUELA","NCR, THIRD DISTRICT"
"Uling Roaster ",6.222440971981632,125.06654619536872,food,"Harap ng mates ",Poblacion,POLOMOLOK,"SOUTH COTABATO"
"Red Ribbon polomolok ",6.219242179167821,125.06383185303862,food,"Tabi ng cebuana Lhuillier ",Poblacion,POLOMOLOK,"SOUTH COTABATO"
Chowking,16.616111324967143,120.31620443290146,food,BAYAN,"Barangay IV (Pob.)","CITY OF SAN FERNANDO (Capital)","LA UNION"
"JOLLIBEE - Rotonda, Dipolog",8.584030516504226,123.35086810862934,food,ROTONDA,Turno,"DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
Mcdonalds,10.71505759852807,122.55193413967893,food,"Sm City Iloilo",Bolilao,"ILOILO CITY (Capital)",ILOILO
"Test Merchant",15.2200400000,120.6627600000,food,"Near Magalang Municipal Hall","San Franciso",MAGALANG,PAMPANGA
McDonalds,16.635639190673828,120.3125991821289,food,SLC,Lingsat,"CITY OF SAN FERNANDO (Capital)","LA UNION"
McDonalds,16.628840905878665,120.32262983202634,food,CSI,Pagdaraoan,"CITY OF SAN FERNANDO (Capital)","LA UNION"
McDonalds,16.6097831779993,120.31678814266522,food,"LA UNION",Catbangen,"CITY OF SAN FERNANDO (Capital)","LA UNION"
McDonalds,16.241500854492188,120.4056167602539,food,DAMORTIS,Damortis,"SANTO TOMAS","LA UNION"
McDonalds,16.224939346313477,120.50041198730469,food,Highway,Bangar,ROSARIO,"LA UNION"
"GREENWICH - Rizal Ave. Dipolog",8.581905551367196,123.338204305619,food,"Quezon Avenue","Central (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
"KFC - Rizal Ave. Dipolog",8.58666844034275,123.34363706633319,food,"Rizal Avenue","Central (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
